Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,42.0,thane,0.9090909090909091,0,-1,1,2,-1,-1,1.0,Srushti Siddhi Mangal Murti Complex Bhiwandi,500.0,10.0,0,0,0,0,0,1000-1999
1,98.0,thane,0.1363636363636364,1,90,2,0,0,0,2.0,Dosti Vihar Pokhran Road,473.0,3.0,0,1,0,0,0,1000-1999
2,140.0,thane,0.3448275862068966,0,90,2,0,1,0,2.0,Sunrise by Kalpataru Kolshet Road,779.0,10.0,0,1,0,0,0,1000-1999
3,25.0,thane,0.3333333333333333,0,-1,1,1,-1,-1,1.0,Kasheli,530.0,1.0,0,0,0,0,0,1000-1999
4,160.0,thane,0.4761904761904762,0,270,2,0,1,1,2.0,TenX Habitat Raymond Realty Pokhran Road,635.0,20.0,0,1,1,0,0,1000-1999
5,45.0,thane,0.2857142857142857,0,90,1,1,-1,1,1.0,Virat Aangan Titwala,544.0,2.0,0,1,1,0,0,1000-1999
6,16.5,thane,0.8,0,-1,1,0,-1,-1,1.0,Mumbra,550.0,4.0,0,0,0,0,0,1000-1999
7,60.0,thane,0.0,2,-1,1,0,-1,-1,1.0,Kalwa,460.0,0.0,0,0,0,0,0,1000-1999
8,60.0,thane,0.0,2,-1,1,0,-1,1,1.0,Kalwa,480.0,0.0,0,0,0,0,0,1000-1999
9,160.0,thane,0.1111111111111111,0,90,3,1,1,0,3.0,Pride Palms Kolshet,900.0,3.0,0,1,0,0,0,1000-1999
10,140.0,thane,0.3,1,-1,2,0,0,1,3.0,Cosmos Lounge Manpada Thane West,950.0,6.0,0,0,1,0,0,1000-1999
11,136.0,thane,0.6666666666666666,1,-1,2,0,-1,-1,2.0,Regency Heights Kolshet Road,932.0,16.0,0,0,0,0,0,1000-1999
12,135.0,thane,0.4,1,-1,2,0,-1,-1,2.0,Regency Heights Kolshet Road,675.2,8.0,0,0,0,0,0,1000-1999
