Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,165.0,pune,0.7272727272727273,1,90,3,3,-1,0,3.0,Pride Valencia Baner,1150.0,8.0,0,1,1,0,1,2000-2499
1,190.0,pune,0.6,0,90,3,2,-1,0,3.0,"Market Yard, Gultekdi",1300.0,6.0,1,1,0,0,0,2000-2499
2,62.0,pune,0.5,0,90,2,1,1,0,2.0,Anandtara Whitefield Residences Keshav Nagar Mundhwa,814.0,7.0,0,1,1,0,1,2000-2499
3,80.0,pune,0.4545454545454545,1,90,2,4,-1,0,2.0,Green Leaf Baner,890.0,5.0,0,0,1,0,0,2000-2499
4,,pune,0.75,0,45,1,1,-1,1,1.0,Tanish Pearls Airport Road,380.0,9.0,0,0,0,0,0,2000-2499
5,28.5,pune,0.0,0,-1,1,1,-1,-1,1.0,Bhawani Peth,369.0,0.0,0,0,0,0,0,2000-2499
6,28.5,pune,0.0,0,-1,1,1,-1,0,1.0,Bhawani Peth,369.0,0.0,0,0,1,0,0,2000-2499
7,220.0,pune,0.4285714285714285,1,0,2,1,1,0,2.0,Sneha Ganga Shankar Sheth Rd,1000.0,3.0,0,1,0,0,0,2000-2499
8,85.0,pune,0.9,0,90,2,2,-1,0,2.0,Ellanza Sinhgad Road,757.0,9.0,1,1,1,0,1,2000-2499
9,87.0,pune,0.8181818181818182,0,90,2,2,-1,0,2.0,Ellanza Sinhgad Road,810.0,9.0,1,1,1,0,1,2000-2499
10,80.0,pune,1.0,0,90,2,2,1,0,2.0,Sahawas Society Karvenagar,890.0,2.0,0,0,1,0,0,2000-2499
11,52.0,pune,0.6363636363636364,0,90,2,2,0,1,2.0,Venkatesh Lake Life Ambegaon,750.0,7.0,0,1,1,0,0,2000-2499
12,250.0,pune,0.5,2,-1,3,0,-1,-1,3.0,Suyojana Society Koregaon Park,1800.0,3.0,0,0,0,0,0,2000-2499
13,100.0,pune,0.3636363636363636,1,0,2,2,1,0,2.0,Magarpatta Trillium Magarpatta,870.0,4.0,0,1,1,0,0,2000-2499
14,215.0,pune,1.0,0,90,3,1,1,3,3.0,"Forest County EON Free Zone, Kharadi",1320.0,3.0,0,1,1,0,1,2000-2499
15,132.0,pune,0.15,0,90,2,2,1,0,3.0,F Residences New Kalyani Nagar,1050.0,3.0,0,1,0,0,0,2000-2499
16,100.0,pune,0.4285714285714285,0,90,2,0,1,0,2.0,Utopia CHS Wanowrie,1024.0,3.0,0,1,0,0,0,2000-2499
17,46.0,pune,0.4166666666666667,0,90,2,1,1,0,2.0,JAD Green City Hadapsar,740.0,5.0,0,1,0,0,0,2000-2499
18,30.0,pune,0.3333333333333333,0,90,2,1,1,0,1.0,JAD Green City Hadapsar,450.0,4.0,0,1,0,0,0,2000-2499
19,40.0,pune,0.4444444444444444,1,-1,1,1,-1,0,1.0,Bhosaletupe Siddhi Vihar Hadapsar,560.0,4.0,0,0,1,0,0,2000-2499
20,87.0,pune,0.2222222222222222,2,0,2,2,-1,0,2.0,Balewadi,828.0,2.0,0,0,1,0,0,2000-2499
21,,pune,0.2380952380952381,0,90,3,2,1,0,3.0,Amanora Gateway Towers Amanora Park Town,15537.0,10.0,0,1,1,0,1,2000-2499
22,35.0,pune,0.25,0,-1,1,1,1,-1,1.0,Shaurya Homes Tingre Nagar,506.4,1.0,0,0,0,0,0,2000-2499
23,65.0,pune,0.2,1,90,2,1,1,1,2.0,Goodwill Metropolis West Lohegaon,730.0,2.0,1,1,1,0,1,2000-2499
24,58.0,pune,0.5882352941176471,0,90,2,2,1,0,3.0,Teerth Avila Sus,738.0,10.0,1,1,1,0,1,2000-2499
25,18.0,pune,0.4285714285714285,0,-1,1,1,-1,-1,1.0,Playtor Childscapes Paud Paud,288.0,3.0,0,0,0,0,0,2000-2499
26,45.0,pune,0.4,0,90,2,2,1,1,2.0,Kalaapi Cira Pirangut,685.0,4.0,0,0,1,0,0,2000-2499
27,118.0,pune,0.09090909090909091,0,90,3,2,1,0,2.0,Rahul Arcus Baner,960.0,1.0,0,1,0,0,0,2000-2499
28,160.0,pune,0.3214285714285715,1,-1,3,3,-1,-1,3.0,Nyati Elysia Kharadi,1200.0,9.0,0,0,0,0,0,2000-2499
29,40.0,pune,0.75,0,-1,2,0,-1,-1,2.0,Bhujbal Dew Drops Shikrapur,689.6,3.0,0,0,0,0,0,2000-2499
30,48.0,pune,0.3333333333333333,2,-1,2,0,-1,-1,1.0,Tulsiani estate opp ICC cable network Pune-411042 Pune,520.0,1.0,0,0,0,0,0,2000-2499
31,165.0,pune,0.3076923076923077,0,90,3,2,1,0,3.0,Magarpatta City Roystonea Magarpatta,1300.0,4.0,0,0,1,0,0,2000-2499
32,264.0,pune,0.55,0,45,4,3,-1,0,4.0,Rahul Arcus Baner,2165.0,11.0,1,1,1,0,1,2000-2499
33,175.0,pune,0.75,2,-1,2,0,-1,-1,3.0,Mitra Mandal Parvati Paytha,1200.0,3.0,0,0,0,0,0,2000-2499
34,29.5,pune,0.125,2,90,2,1,-1,0,3.0,Xrbia Hinjewadi Hinjawadi,595.2,1.0,1,0,0,0,0,2000-2499
35,31.5,pune,0.2,1,270,1,1,-1,1,1.0,Sarthak Shantiban Narhe,515.0,1.0,0,0,0,0,0,2000-2499
36,750.0,pune,0.7857142857142857,2,90,5,2,1,1,4.0,Castel Royale Grande Bhoslenagar Ashok Nagar,3128.0,22.0,0,1,0,0,0,2000-2499
37,157.0,pune,0.3076923076923077,0,90,2,2,1,0,3.0,Amanora Aspire Towers Hadapsar,1140.0,8.0,0,1,0,0,1,2000-2499
38,325.0,pune,1.0,2,-1,6,4,1,1,4.0,"Rutuparna Society Balewadi Phata, Baner",2500.0,10.0,0,1,1,0,1,2000-2499
39,170.0,pune,0.76,0,90,3,2,1,0,3.0,Amanora Neo Towers Amanora Park Town,1210.0,19.0,0,1,0,0,1,2000-2499
40,90.0,pune,0.4444444444444444,1,-1,2,2,1,-1,2.0,Shree Keshriya Saffron Hillscapes Wanowrie,950.0,4.0,0,1,0,0,1,2000-2499
41,45.0,pune,0.8571428571428571,0,-1,1,0,-1,-1,1.0,Kothrud,336.0,6.0,0,0,0,0,0,2000-2499
42,22.0,pune,0.625,0,-1,1,0,-1,-1,1.0,"eco valley plus, Kanhe Pune",448.0,5.0,0,0,0,0,0,2000-2499
43,38.0,pune,0.3571428571428572,0,90,2,2,-1,1,2.0,"Kalpataru Serenity Manjri, Manjri Budruk",501.0,5.0,0,0,0,0,0,2000-2499
44,48.0,pune,0.7142857142857143,0,90,1,1,0,0,1.0,White Lily Wakad,475.0,5.0,0,1,1,0,0,2000-2499
45,28.0,pune,0.1666666666666667,0,90,1,2,-1,0,1.0,"Vrundawan Homes Alandi, Kelgaon",525.0,1.0,0,1,1,0,0,2000-2499
46,68.0,pune,0.8333333333333334,1,-1,1,1,-1,-1,2.0,Rasta Peth,870.0,5.0,0,0,1,0,0,2000-2499
47,125.0,pune,0.4545454545454545,1,90,2,2,-1,1,2.0,Vishnu Vihar Kondhwa,920.0,5.0,0,1,1,0,0,2000-2499
48,29.0,pune,0.8571428571428571,0,90,2,1,-1,0,1.0,Shiv Unnati Residency Hadapsar,465.0,6.0,0,1,0,0,0,2000-2499
49,22.0,pune,,0,-1,2,2,-1,-1,2.0,Xrbia Hinjewadi Phase 1 Hinjewadi Rajiv Gandhi Infotech Park,430.0,,0,0,0,0,0,2000-2499
50,35.0,pune,1.0,0,90,2,1,-1,0,2.0,"Manjri, Manjri Budruk",616.0,5.0,0,1,0,0,0,2000-2499
51,110.0,pune,0.5555555555555556,0,90,2,2,1,1,2.0,Raheja Vista Premiere NIBM Annexe Area,1080.0,10.0,0,1,1,0,1,2000-2499
52,98.0,pune,0.5714285714285714,0,90,2,1,1,0,2.0,Sacred Heart Town Wanowrie,1050.0,4.0,0,1,0,0,0,2000-2499
53,27.0,pune,0.2,0,-1,1,0,-1,-1,1.0,Amar Chhaya Hadapsar,316.0,1.0,0,0,0,0,0,2000-2499
54,56.0,pune,0.5833333333333334,0,90,2,1,1,0,2.0,DNV Elite Homes Tathawade Pimpri Chinchwad,730.0,7.0,0,1,0,0,0,2000-2499
55,75.0,pune,0.8571428571428571,1,90,2,2,1,0,2.0,Rahatani,726.0,6.0,1,1,1,0,0,2000-2499
56,38.0,pune,0.7142857142857143,0,90,2,2,0,0,2.0,Mayuri Tarangan Lohgaon Wagholi Road,700.0,5.0,0,0,1,0,0,2000-2499
57,33.0,pune,0.3636363636363636,0,90,2,1,0,0,1.0,Swapnalok Phase II Fursungi,470.0,4.0,0,1,0,0,0,2000-2499
58,150.0,pune,0.0,1,-1,2,0,-1,-1,2.0,Hermes Heritage 2 Shastrinagar Yerawada,808.0,0.0,0,0,0,0,0,2000-2499
59,59.0,pune,0.09090909090909091,2,-1,2,1,-1,-1,2.0,Life Park Undri,950.0,1.0,0,0,0,0,0,2000-2499
60,25.0,pune,0.8,2,-1,1,0,-1,-1,1.0,Undri,400.0,4.0,0,0,0,0,0,2000-2499
61,415.0,pune,0.6451612903225806,0,90,5,2,-1,0,4.0,Panchshil Towers Kharadi,2650.0,20.0,1,1,1,0,1,2000-2499
62,21.0,pune,0.8571428571428571,1,-1,1,1,-1,1,1.0,Xrbia Hinjewadi Hinjawadi,266.4,6.0,0,1,0,0,0,2000-2499
63,38.0,pune,0.7,0,-1,2,0,-1,-1,1.0,Rainbow Grace Wagholi,548.0,7.0,0,0,0,0,0,2000-2499
64,40.0,pune,0.4166666666666667,0,-1,2,0,-1,-1,2.0,Rainbow Grace Wagholi,784.0,5.0,1,0,0,0,0,2000-2499
65,52.0,pune,0.4166666666666667,0,-1,2,0,-1,-1,2.0,Rainbow Grace Wagholi,880.0,5.0,0,0,0,0,0,2000-2499
66,70.0,pune,0.2857142857142857,0,45,3,1,1,0,3.0,ARV Royale Hadapsar,1010.0,4.0,0,1,1,0,1,2000-2499
67,54.0,pune,0.6428571428571429,0,90,2,2,1,0,2.0,Kohinoor Coral Hinjawadi,615.0,9.0,1,1,0,0,0,2000-2499
68,57.0,pune,0.5454545454545454,0,270,2,1,1,1,2.0,Atrium Skywards Undri,800.0,6.0,0,1,1,0,0,2000-2499
69,75.0,pune,0.1363636363636364,0,90,2,1,1,0,2.0,Nanded Asawari Sinhgad Road,750.0,3.0,1,1,1,0,1,2000-2499
70,130.0,pune,0.875,2,90,2,2,1,1,2.0,Rahul Arcus Baner,1200.0,14.0,0,0,1,0,0,2000-2499
71,35.0,pune,0.75,0,270,2,1,0,1,2.0,Celebrations County Yashwant Nagar Talegaon Dabhade,797.6,9.0,0,1,1,0,0,2000-2499
72,105.0,pune,0.9166666666666666,0,90,3,2,1,0,3.0,Costa Rica Wakad,1050.0,11.0,0,1,1,0,0,2000-2499
73,28.0,pune,1.0,1,90,2,1,-1,0,1.0,Casa Height Hinjawadi,489.0,4.0,0,1,0,0,0,2000-2499
74,,pune,0.5454545454545454,1,90,2,1,-1,0,2.0,Raheja Vista Premiere NIBM Annexe Area,750.0,6.0,0,1,1,0,0,2000-2499
75,101.0,pune,0.2307692307692308,0,45,2,2,1,0,2.0,Westwood Estates Phase II Wakad,931.0,3.0,1,1,1,0,0,2000-2499
76,39.0,pune,0.4666666666666667,0,270,1,2,1,0,1.0,Archana Paradise Phase II NIBM Road,400.0,7.0,1,1,1,0,0,2000-2499
77,80.0,pune,0.3157894736842105,0,225,2,2,-1,0,2.0,Godrej Rejuve Keshav Nagar Mundhwa,703.0,6.0,0,1,0,0,1,2000-2499
78,162.0,pune,0.8181818181818182,1,270,3,2,1,1,3.0,Kolte-Patil Cheryl Kharadi,1200.0,9.0,0,0,1,0,0,2000-2499
79,87.0,pune,0.5,0,90,2,2,1,0,2.0,Sector Number 27 Nigdi,730.0,3.0,1,0,1,0,0,2000-2499
80,135.0,pune,0.2222222222222222,0,90,2,1,1,0,2.0,Leela Garden Kalyani Nagar,950.0,2.0,0,1,0,0,0,2000-2499
81,81.0,pune,0.6666666666666666,1,90,2,2,1,1,3.0,Gagan Arena NIBM Annexe Area,1100.0,8.0,0,1,1,0,1,2000-2499
82,117.0,pune,0.2307692307692308,0,45,3,3,1,0,3.0,Westwood Estates Phase II Wakad,1109.0,3.0,1,1,1,0,0,2000-2499
83,85.0,pune,0.7222222222222222,2,90,2,2,1,1,2.0,Pride Platinum Plus Baner,683.0,13.0,0,1,0,0,0,2000-2499
84,49.0,pune,0.2727272727272727,0,90,2,2,1,0,3.0,TATA Inora Park Undri,900.0,3.0,0,1,0,0,0,2000-2499
85,42.0,pune,0.875,0,-1,1,2,-1,-1,1.0,Harit Shilp Rahatani,525.0,7.0,0,0,0,0,0,2000-2499
86,,pune,,0,-1,2,0,-1,-1,2.0,Trademark Life Pirangut,800.0,,0,0,0,0,0,2000-2499
87,205.0,pune,1.0,0,90,3,2,-1,0,3.0,Forest Edge Phase 2 Kharadi,1300.0,12.0,0,1,1,0,1,2000-2499
88,27.5,pune,0.3333333333333333,0,-1,2,0,-1,-1,1.0,Sky Water Wagholi,524.0,3.0,0,0,0,0,0,2000-2499
89,33.0,pune,0.9,0,-1,2,0,-1,-1,1.0,Sky Water Wagholi,524.0,9.0,0,0,0,0,0,2000-2499
90,215.0,pune,0.8,2,90,3,1,1,0,3.0,Erandwane,970.0,4.0,0,0,1,0,0,2000-2499
91,37.5,pune,0.9,0,-1,2,0,-1,-1,1.0,Sky Water Wagholi,524.0,9.0,0,0,0,0,0,2000-2499
