Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
4359,40.0,greater-noida,0.64,1,45,2,4,-1,3,2.0,Gaur 16Park View Yamuna Expressway,950.0,16.0,0,1,1,0,1
4360,50.0,greater-noida,0.2,0,135,2,2,-1,0,2.0,Amrapali Castle Yamuna Expressway,860.0,3.0,0,1,0,0,0
4361,,greater-noida,0.8571428571428571,0,-1,2,3,-1,-1,2.0,Ajnara Le Garden Greater Noida West,1095.0,18.0,0,0,0,0,0
4362,50.0,greater-noida,0.05555555555555555,0,-1,2,0,-1,-1,2.0,Amrapali Golf Homes Greater Noida West,668.0,1.0,0,0,0,0,0
4363,84.2,greater-noida,1.0,0,45,2,3,1,3,2.0,AIG Royal Sector 1 Greater Noida West,971.0,20.0,1,1,1,0,1
4364,97.2,greater-noida,1.0,0,45,2,3,1,3,3.0,AIG Royal Sector 1 Greater Noida West,1121.0,20.0,1,1,1,0,1
4365,63.5,greater-noida,0.48,1,90,2,3,-1,3,2.0,Mahagun Mantra 1 Greater Noida West,950.0,12.0,0,1,1,0,1
4366,51.0,greater-noida,0.9411764705882353,0,45,2,3,-1,3,3.0,"Tech Zone, Gautam Budh Nagar, Yamuna Expressway",1240.0,16.0,0,1,1,0,1
4367,72.0,greater-noida,0.4375,1,0,2,3,-1,3,3.0,Gaur City 2 7th Avenue Noida Extention,1080.0,14.0,0,1,0,0,1
4368,146.0,greater-noida,0.04347826086956522,0,90,2,3,-1,3,3.0,CRC Sublimis Greater Noida West,1630.0,1.0,0,0,1,0,0
4369,80.0,greater-noida,0.92,0,90,3,4,1,3,3.0,Mahagun Mantra 1 Greater Noida West,1250.0,23.0,0,1,1,0,1
4370,110.0,greater-noida,0.1304347826086956,0,315,3,3,-1,3,3.0,Purvanchal Royal City Chi 5,1500.0,3.0,0,1,1,0,1
4371,153.0,greater-noida,1.0,1,-1,4,0,-1,-1,3.0,Jaypee Greens,1510.4,7.0,0,0,0,0,0
4372,69.0,greater-noida,0.05,1,45,2,1,-1,3,2.0,Techzone 4,970.0,1.0,1,1,1,0,1
4373,37.0,greater-noida,0.75,1,45,2,2,1,0,3.0,Vihaan Vista Sector 1 Greater Noida West,975.0,3.0,1,0,1,0,0
4374,130.0,greater-noida,0.9130434782608695,2,-1,4,4,-1,-1,4.0,Devsai Sportshome Greater Noida West,1588.0,21.0,0,1,1,0,1
4375,82.0,greater-noida,0.7391304347826086,1,-1,3,3,-1,-1,3.0,Edana Alpha 1,1050.0,17.0,0,0,0,0,0
