Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
179,45.0,raipur,0.25,0,90,3,2,-1,0,3.0,Daldal Seoni,1136.0,2.0,0,1,1,0,0
180,40.0,raipur,0.8333333333333334,1,90,2,3,-1,0,2.0,Lalpur,958.4000000000001,5.0,0,0,1,0,0
181,34.0,raipur,0.6666666666666666,1,0,2,2,-1,0,2.0,Avinash Capital Homes 2 Saddu,700.0,4.0,0,1,0,0,0
182,46.0,raipur,0.6666666666666666,1,315,2,3,1,0,3.0,Avinash Capital Homes 2 Saddu,940.0,4.0,0,0,0,0,0
183,31.5,raipur,0.0,1,90,2,2,1,1,2.0,Bhatagaon,800.0,0.0,0,0,1,0,0
184,18.0,raipur,0.8,2,-1,2,0,-1,-1,2.0,New Rajendra Nagar,680.0,4.0,0,0,0,0,0
185,38.9,raipur,0.875,0,-1,2,0,-1,-1,2.0,Astha Greens Shankar Nagar,968.0,7.0,0,0,0,0,0
186,33.5,raipur,1.0,0,90,2,2,1,0,2.0,Bhatagaon,950.0,8.0,1,1,0,0,1
187,111.0,raipur,0.25,2,90,3,3,-1,0,4.0,Swastik East 12 Shankar Nagar,1800.0,3.0,0,1,1,0,1
188,10.0,raipur,0.5,1,-1,1,0,-1,-1,1.0,Dharampura,256.8,1.0,0,0,0,0,0
189,29.1,raipur,,0,-1,3,3,-1,-1,3.0,Simran City 5 Santoshi Nagar,1250.0,,0,0,0,0,0
190,28.0,raipur,0.25,1,-1,2,0,-1,-1,2.0,Santoshi Nagar,664.0,1.0,0,0,0,0,0
191,55.0,raipur,0.3333333333333333,1,90,2,2,-1,1,3.0,Ashoka Impression Mowa,1818.0,2.0,0,1,1,0,0
192,55.0,raipur,0.3333333333333333,0,270,3,2,-1,1,3.0,Ashoka Impression Mowa,1454.4,2.0,0,1,1,0,0
193,25.0,raipur,0.1666666666666667,1,-1,2,0,-1,-1,2.0,"Bhatagaon, Raipur Raipur",752.0,1.0,0,0,0,0,0
194,8.0,raipur,0.75,0,-1,1,0,-1,-1,2.0,Boria Kalan,389.6,3.0,0,0,0,0,0
195,23.0,raipur,0.6666666666666666,0,-1,2,1,-1,0,2.0,Sai vihar Mowa,850.0,4.0,0,0,0,0,0
196,25.0,raipur,0.8,1,-1,2,0,-1,-1,2.0,Pirda,640.0,4.0,0,0,0,0,0
197,31.5,raipur,0.25,1,90,2,2,1,0,2.0,Bhatagaon,780.0,2.0,1,1,1,0,0
198,45.0,raipur,1.0,0,-1,2,3,-1,-1,3.0,swethans parisar Raipur,1300.0,3.0,0,0,0,0,0
199,35.0,raipur,1.0,0,-1,3,0,-1,-1,3.0,Mowa,1116.0,4.0,0,0,0,0,0
200,28.0,raipur,0.5,1,-1,2,0,-1,-1,2.0,Bhatagaon,752.0,3.0,0,0,0,0,0
201,16.4,raipur,0.125,0,90,1,0,1,0,1.0,Avinash Vatika Urkura,478.4,1.0,1,0,0,0,0
202,26.9,raipur,0.1538461538461539,0,-1,2,1,-1,-1,2.0,Swastik East 12 Shankar Nagar,580.0,2.0,0,0,0,0,0
203,35.0,raipur,0.25,2,90,2,2,-1,1,2.0,New Rajendra Nagar,900.0,1.0,1,0,1,0,0
204,20.0,raipur,0.8333333333333334,1,270,1,2,-1,0,2.0,Deopuri,700.0,5.0,1,0,0,0,0
205,45.0,raipur,0.5,0,270,2,3,-1,0,3.0,Telibandha,1135.2,2.0,0,1,1,0,0
206,40.0,raipur,0.8333333333333334,1,-1,2,0,-1,-1,2.0,Tatibandh,880.0,5.0,0,0,0,0,0
207,78.0,raipur,1.0,0,-1,5,2,-1,0,4.0,Ask Paradise Bhatgaon,1432.0,8.0,0,1,1,0,0
208,65.0,raipur,0.6666666666666666,1,90,3,4,-1,0,3.0,Shri Ram Nagar,1355.0,4.0,0,1,0,0,0
209,28.0,raipur,0.0,1,-1,2,0,-1,-1,3.0,Janta Colony,600.0,0.0,0,0,0,0,0
210,19.5,raipur,0.75,1,270,2,2,-1,0,2.0,Bhatagaon,600.0,3.0,0,1,1,0,1
211,48.0,raipur,0.6,0,-1,2,0,-1,-1,3.0,Mohba Bazar,1120.0,3.0,0,0,0,0,0
212,45.0,raipur,0.2,0,0,3,2,1,0,3.0,Anandam World City Kachna Road,1052.0,2.0,1,1,1,0,1
213,27.0,raipur,0.3333333333333333,0,-1,2,0,-1,-1,2.0,Cg nights mowa Raipur,880.0,2.0,0,0,0,0,0
214,20.0,raipur,0.0,0,0,3,1,-1,-1,2.0,Vedanta City Dhamtari Road,600.0,0.0,0,0,0,0,0
215,32.5,raipur,0.5,2,-1,2,2,-1,-1,2.0,Avinash New County Naya Raipur,699.2,4.0,0,1,1,0,1
216,52.0,raipur,0.8333333333333334,1,-1,2,2,-1,-1,2.0,At classic Raipur,1380.0,5.0,0,0,0,0,0
217,350.0,raipur,0.8888888888888888,0,90,7,4,-1,0,5.0,Avanti Vihar,4100.0,8.0,0,1,1,0,1
218,33.5,raipur,0.125,0,-1,2,2,-1,-1,2.0,Pragati Pearl Bhatgaon,1080.0,1.0,0,0,0,0,0
219,34.5,raipur,1.0,1,90,2,2,1,0,2.0,Kachna,950.0,2.0,1,1,1,0,1
220,,raipur,0.0,0,-1,1,0,1,-1,1.0,Indraprastha Colony Raipur,232.0,0.0,0,0,0,0,0
221,120.0,raipur,0.1666666666666667,2,90,3,4,1,0,3.0,Swastik East 12 Shankar Nagar,1600.0,2.0,1,1,0,0,0
222,31.5,raipur,0.375,0,90,2,2,-1,0,2.0,bajaj sky heights Raipur,810.0,3.0,0,1,0,0,0
223,15.0,raipur,0.3333333333333333,0,270,1,1,-1,0,1.0,Avinash Aashiyana Kabir Nagar,505.0,2.0,0,1,1,0,0
224,7.9,raipur,0.3333333333333333,0,-1,1,1,-1,-1,1.0,New Dhamtari Road,487.0,1.0,0,0,0,0,0
225,23.0,raipur,0.25,0,90,2,3,-1,0,2.0,Pirda,758.0,1.0,0,0,1,0,0
226,15.0,raipur,0.25,0,90,2,3,-1,3,2.0,Pirda,633.6,1.0,0,0,1,0,0
227,30.0,raipur,,-1,-1,0,0,-1,-1,2.0,Tatibandh,640.0,,0,0,0,0,0
228,25.0,raipur,0.6,0,-1,2,0,-1,-1,2.0,Mahadev Ghat Road,900.0,3.0,0,0,0,0,0
229,29.0,raipur,0.1666666666666667,1,90,1,3,-1,0,1.0,Krishna Paradise Sarona,661.0,1.0,0,1,0,0,0
230,13.0,raipur,0.6666666666666666,0,-1,1,0,-1,-1,2.0,Housing Board Colony,545.0,4.0,0,0,0,0,0
231,45.0,raipur,0.6666666666666666,0,-1,3,2,-1,0,3.0,Ashoka Ratan Shankar Nagar,1100.0,4.0,0,1,1,0,0
232,43.5,raipur,0.1,0,90,3,2,1,0,3.0,Anandam World City Shankar Nagar,1130.0,1.0,1,1,1,0,1
233,50.0,raipur,0.1818181818181818,0,-1,2,2,-1,-1,3.0,Anandam World City Kachna Road,1040.0,2.0,0,0,0,0,0
234,31.5,raipur,0.25,1,90,2,2,1,0,2.0,Bhatagaon,800.0,2.0,1,1,1,0,0
235,33.5,raipur,0.25,1,90,2,2,1,0,2.0,Bhatagaon,750.0,2.0,1,1,1,0,0
236,65.4,raipur,0.1,0,90,3,3,1,0,3.0,Aishwarya Empire Great Eastern Road,1750.0,1.0,0,1,1,0,0
237,54.0,raipur,0.5,0,-1,3,0,-1,-1,3.0,Ring Road,1327.2,5.0,1,0,0,0,0
238,43.5,raipur,0.2,1,90,3,2,1,0,3.0,Anandam World City Shankar Nagar,1000.0,2.0,1,1,1,0,0
239,34.0,raipur,0.25,1,90,2,2,1,0,2.0,G T Natura Daldal Seoni,1150.0,2.0,0,1,1,0,0
240,22.5,raipur,1.0,1,-1,1,0,-1,-1,1.0,Budhapara,520.0,2.0,0,0,0,0,0
241,31.5,raipur,0.375,0,-1,2,2,-1,-1,2.0,Bhatagaon,710.0,3.0,0,0,0,0,0
242,51.5,raipur,0.1111111111111111,0,-1,3,0,-1,-1,3.0,Ring Road,1327.2,1.0,1,0,0,0,0
243,30.0,raipur,0.3,1,-1,2,1,-1,-1,2.0,Swastik East 12 Shankar Nagar,568.0,3.0,0,0,0,0,0
244,45.0,raipur,0.5,1,-1,2,3,-1,0,2.0,Pachpedi Naka,880.0,2.0,0,1,0,0,0
245,50.0,raipur,0.375,1,90,3,3,1,0,3.0,Shankar Nagar,1500.0,3.0,0,1,1,0,0
246,33.5,raipur,,0,90,2,2,1,0,2.0,Bhatagaon,810.0,,1,1,1,0,1
247,10.0,raipur,,-1,-1,0,0,-1,-1,3.0,Kabir Nagar,576.0,,0,0,0,0,0
248,35.0,raipur,0.4,0,90,3,1,-1,0,3.0,Harshit Landmark Hirapur Road,772.0,4.0,0,1,1,0,0
249,36.0,raipur,0.25,1,90,2,2,1,0,2.0,Golden Glory Shankar Nagar,1000.0,2.0,0,1,1,0,0
250,29.1,raipur,0.6,0,-1,2,1,-1,-1,2.0,Harshit Landmark Hirapur Road,630.0,6.0,0,0,0,0,0
251,18.0,raipur,0.8333333333333334,0,90,2,3,-1,3,2.0,Himalayan Heights Deopuri,714.4000000000001,5.0,0,1,0,0,0
252,60.0,raipur,0.2,2,-1,4,0,-1,-1,4.0,Diamond towers Tatibandh,1560.0,1.0,0,0,0,0,0
253,70.0,raipur,0.3333333333333333,2,-1,3,2,-1,-1,3.0,Diamond towers Tatibandh,1500.0,2.0,0,0,0,0,0
254,44.0,raipur,0.1666666666666667,1,-1,3,1,-1,0,3.0,Avinash Capital Homes 2 Saddu,993.6,1.0,0,1,0,0,0
255,32.0,raipur,1.0,0,-1,2,3,-1,-1,2.0,Wood Island Raipur,1050.0,5.0,0,0,0,0,0
256,33.5,raipur,1.0,1,90,2,2,1,0,2.0,Santoshi Nagar,800.0,2.0,1,1,1,0,0
257,55.0,raipur,0.375,2,90,3,2,1,0,3.0,Shankar Nagar,1350.0,3.0,0,1,1,0,0
258,31.6,raipur,,0,-1,2,0,-1,-1,2.0,Avinash New County Naya Raipur,669.6,,1,0,0,0,0
259,29.9,raipur,0.5,0,90,2,2,1,0,2.0,Amlidhi,800.0,3.0,1,1,1,0,1
260,45.0,raipur,0.2,0,90,3,2,1,0,3.0,Anandam World City Shankar Nagar,1100.0,2.0,1,1,1,0,1
261,100.0,raipur,0.8333333333333334,2,90,3,2,-1,0,3.0,Sunita Park Phase 1 Labhandih,1350.0,5.0,0,1,1,0,0
262,26.5,raipur,0.3333333333333333,1,90,2,1,-1,0,2.0,Avinash Aashiyana Kabir Nagar,589.6,2.0,1,1,0,0,0
263,95.0,raipur,0.5,2,-1,4,2,1,-1,4.0,Shri Ram Nagar,1972.0,2.0,0,0,0,0,0
264,26.3,raipur,0.2,2,90,2,1,1,0,2.0,Swastik East 12 VIP Colony,550.0,2.0,1,1,1,0,1
265,38.7,raipur,0.5,0,90,3,3,1,0,3.0,Dolphin Jewel O New Dhamtari Road,1200.0,4.0,1,1,1,0,0
266,50.0,raipur,0.875,0,90,3,2,-1,0,3.0,Anandam World City Kachna Road,1350.0,7.0,1,0,1,0,0
267,17.0,raipur,0.75,0,45,2,1,1,0,2.0,Dolphin Jewel O New Dhamtari Road,5000.0,6.0,1,1,1,0,0
268,36.4,raipur,0.3,0,45,2,1,1,0,3.0,Anandam World City Kachna Road,1100.0,3.0,1,1,1,0,1
269,27.0,raipur,1.0,0,225,2,1,-1,0,2.0,Shankar Nagar,750.0,4.0,0,0,0,0,0
270,42.0,raipur,0.6666666666666666,1,270,3,1,1,0,3.0,Avinash Capital Homes 2 Saddu,860.0,4.0,0,1,0,0,0
271,33.5,raipur,0.2,0,90,2,2,1,0,2.0,Mathpurena,900.0,2.0,1,1,1,0,0
272,17.0,raipur,0.8333333333333334,0,-1,2,0,-1,-1,2.0,Kamal Vihar,503.2,5.0,0,0,0,0,0
273,28.9,raipur,0.625,0,0,2,2,1,-1,2.0,Dolphin Jewel O New Dhamtari Road,735.0,5.0,1,1,0,0,0
274,67.0,raipur,0.3636363636363636,0,-1,3,1,-1,-1,3.0,Bhatagaon,1680.0,4.0,0,0,0,0,0
275,44.5,raipur,0.08333333333333333,0,90,2,0,-1,0,3.0,Avanti Vihar,1100.0,1.0,0,1,0,0,0
276,26.0,raipur,0.3333333333333333,0,90,2,2,1,0,2.0,Vrindawan Gardens Daldal Seoni,950.0,3.0,0,1,1,0,0
277,35.0,raipur,0.5,0,0,2,2,1,0,2.0,Golden Sky VIP Road,1000.0,3.0,0,1,1,0,0
278,33.5,raipur,0.25,0,90,2,2,1,-1,2.0,Bhatagaon,750.0,2.0,1,1,1,0,0
279,25.0,raipur,0.6666666666666666,0,90,2,2,1,0,2.0,Raipura,910.0,4.0,1,1,0,0,0
280,62.0,raipur,0.3333333333333333,1,-1,3,2,-1,-1,3.0,Tatibandh,1500.0,2.0,0,1,0,0,1
281,39675.0,raipur,1.0,0,90,2,2,1,0,2.0,Kachna Road,920.0,2.0,1,1,1,0,1
282,33.0,raipur,0.0,0,0,3,3,-1,0,3.0,Tatibandh,965.0,0.0,0,1,1,0,0
283,40.0,raipur,1.0,0,-1,2,0,-1,-1,3.0,Ring Road,880.0,6.0,0,0,0,0,0
284,35.5,raipur,0.375,1,-1,2,0,-1,-1,2.0,Palm Resorts Saddu,771.2,3.0,0,0,0,0,0
285,46.5,raipur,1.0,1,90,3,2,1,0,3.0,Kachna,1300.0,2.0,1,1,1,0,0
286,20.5,raipur,0.1666666666666667,0,-1,1,0,-1,-1,1.0,avinash capital homes 2 Raipur,470.4,1.0,0,0,0,0,0
287,21.0,raipur,0.6666666666666666,0,0,2,1,-1,0,2.0,Avinash Aashiyana Kabir Nagar,589.6,4.0,0,1,0,0,0
288,53.0,raipur,0.3333333333333333,1,-1,2,3,-1,-1,3.0,Surya Avanti Elegance Vidhan Sabha Road,1476.0,2.0,0,0,0,0,0
289,32.5,raipur,0.6666666666666666,0,90,2,2,-1,0,2.0,Tatibandh,800.0,4.0,0,1,1,0,0
290,53.3,raipur,0.1666666666666667,1,90,3,3,1,0,2.0,Avanti Vihar,1300.0,1.0,1,0,0,0,0
291,28.0,raipur,0.8333333333333334,0,0,2,1,-1,0,2.0,Avinash Aashiyana Kabir Nagar,725.0,5.0,0,0,0,0,0
292,29.3,raipur,,0,-1,2,0,1,-1,2.0,Ram Niketan Saddu,836.0,,1,0,0,0,0
293,29.3,raipur,,0,-1,2,0,1,-1,2.0,Ram Niketan Saddu,836.0,,1,0,0,0,0
294,64.0,raipur,0.125,1,315,2,2,1,0,3.0,Kota Road Raipur,896.0,1.0,0,1,0,0,0
295,21.0,raipur,0.25,1,-1,2,2,1,-1,2.0,Dunda,600.0,1.0,0,0,0,0,0
296,21.0,raipur,0.6666666666666666,0,-1,2,3,-1,-1,2.0,Maruti Homes Mohba Bazar,900.0,4.0,0,0,0,0,0
297,70.0,raipur,0.6666666666666666,1,0,3,3,-1,0,3.0,DM Vatika Apartment Shankar Nagar,1850.0,4.0,0,0,1,0,0
298,15.5,raipur,0.8333333333333334,1,-1,1,1,1,-1,1.0,Avinash Aashiyana Harshit Nagar,505.0,5.0,0,0,0,0,0
