Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
7336,35.0,chennai,1.0,1,-1,2,0,-1,-1,2.0,"PMS ENCLAVE, CAMP ROAD,SELAIYUR, CHENNAI Chennai",664.0,2.0,0,0,0,0,0
7337,95.0,chennai,0.0,1,90,2,0,-1,0,2.0,T Nagar,1000.0,0.0,0,0,0,0,0
7338,125.0,chennai,0.3333333333333333,-1,-1,2,0,-1,-1,3.0,Burkit Road,1004.0,1.0,0,0,0,0,0
7339,54.5,chennai,0.6666666666666666,0,0,2,1,1,0,2.0,Sembakkam,800.0,2.0,1,0,1,0,0
7340,45.0,chennai,1.0,1,180,2,2,1,0,2.0,Sri Vasantham Apartment Medavakkam,908.0,2.0,0,1,0,0,0
7341,,chennai,1.0,0,90,1,0,1,0,1.0,Ambattur,490.0,3.0,0,0,1,0,0
7342,290.0,chennai,0.6,1,180,5,0,1,-1,4.0,Osian Chlorophyll Porur,3440.0,6.0,0,0,0,0,0
7343,58.1,chennai,0.6666666666666666,0,90,2,1,1,0,2.0,MM Flats Kovilambakkam,922.0,2.0,1,0,1,0,0
7344,52.0,chennai,,1,0,3,0,1,0,3.0,Chamiers Road,1200.0,,0,0,1,0,0
7345,189.0,chennai,,1,0,3,0,1,0,3.0,Chamiers Road,1264.0,,0,0,1,0,0
7346,68.0,chennai,0.25,0,90,2,3,-1,0,2.0,Kodambakkam,780.0,1.0,0,0,1,0,0
7347,40.0,chennai,0.3333333333333333,0,90,2,1,-1,0,2.0,Vandalur,760.0,1.0,0,0,1,0,0
7348,69.0,chennai,0.6,0,0,3,1,1,0,3.0,Vanagaram,1068.0,3.0,1,1,0,0,0
7349,292.0,chennai,1.0,0,-1,3,0,1,0,3.0,Urapakkam,1296.0,4.0,0,0,0,0,0
7350,80.0,chennai,0.25,2,-1,3,2,-1,-1,3.0,Jain Sudarsana Rajakilpakkam,1160.0,1.0,0,0,0,0,0
7351,42.0,chennai,0.6666666666666666,1,180,2,2,-1,0,2.0,Optima Ace Ambattur,780.0,2.0,0,0,1,0,0
7352,150.0,chennai,1.0,1,45,4,2,1,0,4.0,Pacifica Aurum Villas Padur,1450.0,4.0,1,1,1,0,1
7353,40.0,chennai,0.6666666666666666,1,0,2,1,-1,0,2.0,Maha Amogha Madhavaram,606.4,2.0,0,0,1,0,0
7354,500.0,chennai,0.7368421052631579,1,90,5,2,1,0,5.0,Thoraipakkam,2800.0,14.0,0,0,1,0,0
7355,53.0,chennai,1.0,0,270,2,0,-1,0,2.0,Peravallur,689.6,2.0,0,0,0,0,0
7356,80.0,chennai,0.5,1,-1,3,0,-1,-1,3.0,Dugar Sky City Vanagaram,1264.8,2.0,0,0,0,0,0
7357,54.0,chennai,1.0,1,270,2,1,1,0,2.0,Bollineni Hillside Phase II Sholinganallur,824.0,4.0,0,1,0,0,0
7358,52.0,chennai,0.9285714285714286,-1,-1,3,0,-1,-1,3.0,Senganmal,1120.0,13.0,0,0,0,0,0
7359,43.0,chennai,0.0,1,270,2,0,-1,0,2.0,Perambur,580.0,0.0,0,0,0,0,0
7360,250.0,chennai,0.9473684210526315,0,0,3,3,0,0,3.0,Appaswamy Capella Vadapalani,1831.0,18.0,0,0,1,0,1
7361,60.0,chennai,0.2,1,-1,3,2,-1,-1,3.0,Iris Court Grand Southern Trunk Road,1060.0,1.0,0,0,0,0,0
7362,72.0,chennai,1.0,2,270,3,2,-1,-1,3.0,Symphony Padur,1012.8,13.0,0,1,0,0,1
7363,75.0,chennai,1.0,1,270,2,1,-1,0,3.0,Nest Charm Medavakkam,1235.0,2.0,0,0,0,0,0
7364,140.0,chennai,0.5,1,0,2,3,-1,0,3.0,Adyar,1130.0,2.0,0,1,0,0,0
7365,349.0,chennai,0.5555555555555556,1,0,3,3,1,0,3.0,Appaswamy Capella Arcot Road,1464.8,10.0,0,1,0,0,0
7366,35.0,chennai,1.0,1,-1,2,0,-1,-1,2.0,"PMS ENCLAVE, CAMP ROAD,SELAIYUR, CHENNAI Chennai",664.0,2.0,0,0,0,0,0
7367,95.0,chennai,0.0,1,90,2,0,-1,0,2.0,T Nagar,1000.0,0.0,0,0,0,0,0
7368,125.0,chennai,0.3333333333333333,-1,-1,2,0,-1,-1,3.0,Burkit Road,1004.0,1.0,0,0,0,0,0
7369,54.5,chennai,0.6666666666666666,0,0,2,1,1,0,2.0,Sembakkam,800.0,2.0,1,0,1,0,0
7370,45.0,chennai,1.0,1,180,2,2,1,0,2.0,Sri Vasantham Apartment Medavakkam,908.0,2.0,0,1,0,0,0
7371,,chennai,1.0,0,90,1,0,1,0,1.0,Ambattur,490.0,3.0,0,0,1,0,0
7372,290.0,chennai,0.6,1,180,5,0,1,-1,4.0,Osian Chlorophyll Porur,3440.0,6.0,0,0,0,0,0
7373,58.1,chennai,0.6666666666666666,0,90,2,1,1,0,2.0,MM Flats Kovilambakkam,922.0,2.0,1,0,1,0,0
7374,52.0,chennai,,1,0,3,0,1,0,3.0,Chamiers Road,1200.0,,0,0,1,0,0
7375,189.0,chennai,,1,0,3,0,1,0,3.0,Chamiers Road,1264.0,,0,0,1,0,0
7376,68.0,chennai,0.25,0,90,2,3,-1,0,2.0,Kodambakkam,780.0,1.0,0,0,1,0,0
7377,40.0,chennai,0.3333333333333333,0,90,2,1,-1,0,2.0,Vandalur,760.0,1.0,0,0,1,0,0
7378,69.0,chennai,0.6,0,0,3,1,1,0,3.0,Vanagaram,1068.0,3.0,1,1,0,0,0
7379,292.0,chennai,1.0,0,-1,3,0,1,0,3.0,Urapakkam,1296.0,4.0,0,0,0,0,0
7380,80.0,chennai,0.25,2,-1,3,2,-1,-1,3.0,Jain Sudarsana Rajakilpakkam,1160.0,1.0,0,0,0,0,0
7381,42.0,chennai,0.6666666666666666,1,180,2,2,-1,0,2.0,Optima Ace Ambattur,780.0,2.0,0,0,1,0,0
7382,150.0,chennai,1.0,1,45,4,2,1,0,4.0,Pacifica Aurum Villas Padur,1450.0,4.0,1,1,1,0,1
7383,40.0,chennai,0.6666666666666666,1,0,2,1,-1,0,2.0,Maha Amogha Madhavaram,606.4,2.0,0,0,1,0,0
7384,500.0,chennai,0.7368421052631579,1,90,5,2,1,0,5.0,Thoraipakkam,2800.0,14.0,0,0,1,0,0
7385,53.0,chennai,1.0,0,270,2,0,-1,0,2.0,Peravallur,689.6,2.0,0,0,0,0,0
7386,80.0,chennai,0.5,1,-1,3,0,-1,-1,3.0,Dugar Sky City Vanagaram,1264.8,2.0,0,0,0,0,0
7387,54.0,chennai,1.0,1,270,2,1,1,0,2.0,Bollineni Hillside Phase II Sholinganallur,824.0,4.0,0,1,0,0,0
7388,52.0,chennai,0.9285714285714286,-1,-1,3,0,-1,-1,3.0,Senganmal,1120.0,13.0,0,0,0,0,0
7389,43.0,chennai,0.0,1,270,2,0,-1,0,2.0,Perambur,580.0,0.0,0,0,0,0,0
7390,250.0,chennai,0.9473684210526315,0,0,3,3,0,0,3.0,Appaswamy Capella Vadapalani,1831.0,18.0,0,0,1,0,1
7391,60.0,chennai,0.2,1,-1,3,2,-1,-1,3.0,Iris Court Grand Southern Trunk Road,1060.0,1.0,0,0,0,0,0
7392,72.0,chennai,1.0,2,270,3,2,-1,-1,3.0,Symphony Padur,1012.8,13.0,0,1,0,0,1
7393,75.0,chennai,1.0,1,270,2,1,-1,0,3.0,Nest Charm Medavakkam,1235.0,2.0,0,0,0,0,0
7394,140.0,chennai,0.5,1,0,2,3,-1,0,3.0,Adyar,1130.0,2.0,0,1,0,0,0
7395,349.0,chennai,0.5555555555555556,1,0,3,3,1,0,3.0,Appaswamy Capella Arcot Road,1464.8,10.0,0,1,0,0,0
7396,35.0,chennai,1.0,1,-1,2,0,-1,-1,2.0,"PMS ENCLAVE, CAMP ROAD,SELAIYUR, CHENNAI Chennai",664.0,2.0,0,0,0,0,0
7397,95.0,chennai,0.0,1,90,2,0,-1,0,2.0,T Nagar,1000.0,0.0,0,0,0,0,0
7398,125.0,chennai,0.3333333333333333,-1,-1,2,0,-1,-1,3.0,Burkit Road,1004.0,1.0,0,0,0,0,0
7399,54.5,chennai,0.6666666666666666,0,0,2,1,1,0,2.0,Sembakkam,800.0,2.0,1,0,1,0,0
7400,45.0,chennai,1.0,1,180,2,2,1,0,2.0,Sri Vasantham Apartment Medavakkam,908.0,2.0,0,1,0,0,0
7401,,chennai,1.0,0,90,1,0,1,0,1.0,Ambattur,490.0,3.0,0,0,1,0,0
7402,290.0,chennai,0.6,1,180,5,0,1,-1,4.0,Osian Chlorophyll Porur,3440.0,6.0,0,0,0,0,0
7403,58.1,chennai,0.6666666666666666,0,90,2,1,1,0,2.0,MM Flats Kovilambakkam,922.0,2.0,1,0,1,0,0
