Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,27.0,ahmadnagar,0.25,0,-1,1,2,-1,-1,2.0,Aadikailas society Ahmadnagar,650.0,1.0,0,0,0,0,0,0-99
1,23.0,ahmadnagar,0.6666666666666666,0,-1,1,0,-1,-1,1.0,Savedi,515.2,2.0,0,0,0,0,0,0-99
2,43.0,ahmadnagar,0.5,0,-1,5,0,-1,-1,5.0,Ahmednagar,536.0,1.0,0,0,0,0,0,0-99
3,35.0,ahmadnagar,0.3333333333333333,0,-1,1,0,-1,-1,2.0,"Pathardi, Ahmadnagar Ahmadnagar",720.0,1.0,0,0,0,0,0,0-99
4,36.0,ahmadnagar,1.0,1,90,1,2,1,0,2.0,Savedi,622.4000000000001,2.0,0,0,1,0,0,0-99
5,40.0,ahmadnagar,1.0,0,0,1,1,1,0,1.0,Old court Ahmadnagar,624.0,4.0,1,0,1,0,0,0-99
6,27.0,ahmadnagar,0.5,0,-1,1,2,-1,-1,1.0,Sai Gaj Swami MIDC,550.0,2.0,0,0,0,0,0,0-99
7,22.5,ahmadnagar,0.6666666666666666,0,-1,1,0,-1,-1,1.0,Savedi,460.0,2.0,0,0,0,0,0,0-99
8,27.0,ahmadnagar,0.25,1,-1,1,0,-1,-1,1.0,Pipeline Road,520.0,1.0,0,0,0,0,0,0-99
9,21.0,ahmadnagar,0.3333333333333333,1,90,1,1,-1,1,1.0,Anand Vihar apartment Ahmadnagar,450.0,1.0,0,0,0,0,0,0-99
10,50.0,ahmadnagar,0.6666666666666666,1,-1,2,0,-1,-1,2.0,Sarthi Villa Savedi,724.0,2.0,0,0,0,0,0,0-99
11,27.0,ahmadnagar,0.6,0,-1,1,1,-1,-1,1.0,Ekvira Ahmadnagar,612.0,3.0,0,0,0,0,0,0-99
12,34.0,ahmadnagar,1.0,0,-1,1,2,-1,-1,1.0,Savedi,650.0,3.0,1,0,0,0,0,0-99
