Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,90.0,agra,0.25,2,-1,3,3,-1,0,3.0,Kamla nagar,1400.0,1.0,1,0,1,0,0,200-499
1,36.5,agra,0.6666666666666666,0,270,2,3,0,0,3.0,tdi city fatehabad road Agra,1660.0,2.0,1,1,0,0,0,200-499
2,47.0,agra,0.5833333333333334,1,90,2,1,1,0,2.0,ADA Heights Taj Nagri,1500.0,7.0,0,1,1,0,0,200-499
3,30.0,agra,0.0,1,90,2,2,-1,0,2.0,Fatehabad Road,1300.0,0.0,0,1,0,0,0,200-499
4,46.0,agra,0.3333333333333333,2,-1,2,0,-1,-1,2.0,Kamla nagar,1000.0,1.0,0,0,0,0,0,200-499
5,70.0,agra,1.0,-1,-1,2,0,-1,-1,2.0,MG Road 2,712.8000000000001,2.0,0,0,0,0,0,200-499
6,70.0,agra,1.0,1,90,3,2,-1,0,4.0,Parsvnath Panchvati Fatehabad Road,1600.0,2.0,0,1,0,0,0,200-499
7,79.0,agra,0.7777777777777778,0,90,3,3,1,3,3.0,Shri Krishna Lok Shastri Puram,1506.4,7.0,0,0,1,0,0,200-499
8,68.0,agra,0.25,0,0,2,0,1,0,3.0,Anupam Daffodils Dayal Bagh,1446.4,1.0,0,1,0,0,1,200-499
9,4.5,agra,0.3333333333333333,2,-1,2,0,-1,-1,3.0,Phase 2 Taj Nagri,1000.0,1.0,0,0,0,0,0,200-499
10,24.0,agra,0.3333333333333333,1,90,1,2,-1,0,1.0,ADA Heights Taj Nagri,960.0,5.0,0,1,0,0,0,200-499
11,26.0,agra,0.8888888888888888,0,-1,2,0,-1,-1,2.0,Ganpati World Fatehabad Road,740.8000000000001,8.0,0,0,0,0,0,200-499
12,58.0,agra,0.375,1,135,4,3,1,0,3.0,Bodla Bichpuri Road Agra,1550.0,3.0,0,0,0,0,0,200-499
13,44.0,agra,0.4666666666666667,0,45,3,5,1,0,3.0,Ganpati World Fatehabad Road,1400.0,7.0,0,1,1,0,0,200-499
14,24.5,agra,0.7777777777777778,0,45,2,1,0,0,3.0,Ganpati World II Fatehabad Road,777.0,7.0,0,1,1,0,0,200-499
