Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
12034,200.0,gurgaon,0.4285714285714285,1,90,4,2,1,0,4.0,Tulip Purple Sector 69,1800.0,6.0,0,1,1,0,1
12035,175.0,gurgaon,0.5,1,90,3,2,1,0,3.0,"Malibu Town Malibu Town, Sector 47",1296.0,2.0,1,1,1,0,0
12036,896.0000000000001,gurgaon,0.3,0,45,5,4,1,0,4.0,Pioneer Araya Sector 62,4583.0,9.0,1,1,0,0,0
12037,290.0,gurgaon,0.6666666666666666,1,45,4,4,0,3,4.0,Emaar Emerald Hills Sector 65,1500.0,2.0,0,1,1,0,1
12038,30.0,gurgaon,1.0,0,90,1,2,-1,1,2.0,"Laxmi Apartments Sector 99A, Delhi Gurgaon Expressway",600.0,12.0,1,1,0,0,0
12039,104.0,gurgaon,,0,-1,3,0,-1,-1,3.0,Ashiana Anmol Sohna Gurgaon Road,1376.0,,1,0,0,0,0
12040,,gurgaon,0.08695652173913043,1,-1,2,1,-1,-1,,Gurgaon,700.0,2.0,1,0,0,0,0
12041,105.0,gurgaon,1.0,1,45,3,3,1,0,3.0,"Signature Global City 37D Sector 37D, Delhi Gurgaon Expressway",1470.0,4.0,1,1,0,0,0
12042,163.0,gurgaon,0.3846153846153846,1,90,3,3,1,2,3.0,Shree Vardhman Victoria Sector 70,1300.0,5.0,1,1,1,0,1
12043,155.0,gurgaon,0.1,0,45,3,1,-1,0,3.0,DLF Skycourt Sector 86,1536.0,2.0,0,1,0,0,0
12044,,gurgaon,0.4,1,45,4,3,1,0,3.0,DLF Park Place Sector 54,1580.0,12.0,0,0,0,0,0
12045,70.0,gurgaon,0.8,1,-1,2,2,-1,-1,2.0,Lotus Homz Sector 111,560.0,8.0,0,0,0,0,0
12046,90.0,gurgaon,0.3333333333333333,1,90,2,4,1,0,2.0,"SS The Coralwood Sihi, Sector 84",1140.0,7.0,0,1,0,0,1
12047,155.0,gurgaon,0.25,1,90,3,2,1,0,3.0,DLF Skycourt Badha,1550.0,5.0,0,1,1,0,1
12048,85.0,gurgaon,0.25,0,270,2,3,1,0,3.0,Signature Global Park 4 and 5 Sohna Sector 36,864.8000000000001,1.0,0,1,1,0,1
12049,125.0,gurgaon,0.15,0,90,2,2,1,-1,3.0,Godrej Aria Sector 79,1195.2,3.0,0,0,0,0,0
12050,225.0,gurgaon,0.5,0,180,3,3,-1,0,3.0,Bestech Park View City 2 Sector 49,1790.0,11.0,1,1,1,0,1
12051,235.0,gurgaon,0.2941176470588235,1,45,4,3,1,0,3.0,Ireo Victory Valley Sector 67,1952.0,15.0,0,1,1,0,0
12052,130.0,gurgaon,0.0,1,0,3,0,-1,0,3.0,BPTP Astaire Gardens Sector 70A,919.2,0.0,0,0,0,0,0
12053,126.0,gurgaon,0.9333333333333333,0,90,4,3,-1,0,4.0,"Piedmont Taksila heights Sector 37C, Delhi Gurgaon Expressway",1545.6,14.0,0,1,1,0,1
12054,35.0,gurgaon,0.25,0,-1,2,0,-1,0,2.0,"Ashok Vihar 2 Ashok Vihar Phase 2, Delhi Gurgaon Expressway",480.0,1.0,0,0,0,0,0
