Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
112,46.0,ranchi,0.3333333333333333,0,-1,2,0,-1,-1,3.0,Kanke,967.2,1.0,0,0,0,0,0
113,37.0,ranchi,0.25,0,45,2,2,1,0,2.0,Singh More,920.0,1.0,0,0,0,0,0
114,34.3,ranchi,0.75,0,90,2,2,1,0,2.0,Bariatu Road,685.6,3.0,1,0,1,0,0
115,50.0,ranchi,0.0,2,-1,2,0,-1,-1,3.0,"Ashok Nagar, Ranchi Ranchi",916.8000000000001,0.0,0,0,0,0,0
116,54.4,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1209.6,,1,0,0,0,0
117,45.7,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1016.0,,1,0,0,0,0
118,52.6,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1168.8,,1,0,0,0,0
119,63.0,ranchi,0.6666666666666666,0,90,2,2,1,0,3.0,Bariatu,1500.0,2.0,1,0,1,0,0
120,51.0,ranchi,1.0,0,90,2,3,-1,0,3.0,Pundag,1224.0,5.0,1,1,1,0,0
121,70.0,ranchi,0.5714285714285714,0,0,2,2,-1,-1,3.0,vijeta enclave Ranchi,1400.0,4.0,0,0,1,0,0
122,48.1,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1068.8,,1,0,0,0,0
123,53.7,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1192.8,,1,0,0,0,0
124,54.2,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1204.8,,1,0,0,0,0
125,45.9,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1020.8,,1,0,0,0,0
126,48.3,ranchi,,0,-1,2,0,1,-1,3.0,Ishan Heritage Kanke,1072.8,,1,0,0,0,0
127,48.0,ranchi,0.5,0,-1,2,2,-1,-1,3.0,Pratibha Apartment Tupudana,1000.0,2.0,0,0,0,0,0
128,75.0,ranchi,0.1111111111111111,0,0,3,2,-1,0,3.0,Oak Elegance Booty More,1200.0,1.0,0,1,0,0,0
129,45.0,ranchi,0.75,0,45,2,2,-1,0,3.0,Hinoo,1000.0,3.0,0,0,0,0,0
130,55.0,ranchi,0.75,1,135,2,2,1,0,3.0,South Office Para,1400.0,3.0,0,0,1,0,0
131,45.0,ranchi,1.0,0,-1,2,4,-1,-1,3.0,Neelmani Tower Ranchi,1400.0,4.0,0,0,0,0,0
132,40.0,ranchi,0.6666666666666666,1,-1,2,0,-1,-1,3.0,Namkum,1072.0,4.0,0,0,0,0,0
133,100.0,ranchi,0.6,2,135,2,2,-1,0,3.0,Vikramshila Vatika Bariatu Road,1360.8,3.0,0,0,0,0,0
134,70.0,ranchi,1.0,-1,-1,0,0,-1,-1,3.0,Boreya,1244.0,4.0,0,0,0,0,0
135,20.0,ranchi,0.6,2,-1,2,0,-1,-1,2.0,BIT Mesra,480.0,3.0,0,0,0,0,0
136,55.0,ranchi,0.5,1,45,2,2,1,0,2.0,Ashok Nagar,960.0,2.0,0,0,0,0,0
137,57.0,ranchi,0.6,1,-1,3,1,-1,-1,3.0,Bariatu,1064.0,3.0,0,0,0,0,0
138,55.0,ranchi,1.0,0,-1,2,0,-1,-1,3.0,Chitragupta Nagar,1168.0,3.0,0,0,0,0,0
139,48.0,ranchi,0.4,1,90,2,2,1,0,2.0,Argora,1050.0,2.0,1,0,1,0,0
140,30.0,ranchi,0.25,0,90,2,2,1,0,2.0,Rajni Apartment Singh More,749.6,1.0,0,0,0,0,0
141,42.0,ranchi,1.0,0,45,2,2,1,0,2.0,Bariatu,850.0,4.0,1,1,1,0,0
142,46.2,ranchi,0.5,0,90,2,3,1,0,3.0,Namkum,1120.0,2.0,1,0,0,0,0
143,55.0,ranchi,1.0,0,90,2,2,1,0,3.0,Bariatu Road,1430.0,4.0,0,1,1,0,0
144,58.5,ranchi,0.5,0,-1,2,0,-1,-1,3.0,Bariatu,1060.0,2.0,0,0,0,0,0
145,75.0,ranchi,1.0,2,270,2,3,-1,0,2.0,Ashok Nagar,850.0,3.0,1,0,1,0,0
146,150.0,ranchi,0.0,2,-1,2,0,-1,-1,3.0,Ashoknagar phase 3 Ranchi,800.0,0.0,0,0,0,0,0
147,80.0,ranchi,0.6,1,-1,2,0,-1,-1,3.0,"Kokar, Ranchi Ranchi",1080.0,3.0,0,0,0,0,0
148,75.0,ranchi,0.8,1,135,3,2,1,-1,3.0,Lalpur,1650.0,4.0,1,0,0,0,0
149,87.1,ranchi,0.5,1,90,3,3,1,0,3.0,Pranami Blue Sapphire Bariatu,1376.0,2.0,1,1,1,0,0
150,55.1,ranchi,0.5,0,-1,3,2,1,-1,3.0,Bariatu,1258.0,2.0,1,0,1,0,0
151,147.0,ranchi,0.4444444444444444,2,90,4,2,1,0,3.0,Sri Ram Krishna Enclave Morabadi,1900.0,4.0,0,1,0,0,1
152,60.0,ranchi,0.6,1,-1,3,0,-1,-1,3.0,Sudha Enclave Ranchi,1028.0,3.0,0,0,0,0,0
153,70.0,ranchi,0.6666666666666666,1,45,2,2,1,0,3.0,Hinoo,1120.0,2.0,0,0,1,0,0
154,75.0,ranchi,0.8181818181818182,1,-1,3,0,-1,-1,3.0,"Budhiya Bagan, Lake road, Ranchi Ranchi",1338.4,9.0,0,0,0,0,0
155,30.0,ranchi,0.5,0,45,2,2,1,0,2.0,Tupudana,764.0,2.0,0,0,0,0,0
156,40.0,ranchi,1.0,1,45,2,2,1,0,2.0,Kantatoli,1100.0,6.0,0,0,1,0,0
157,50.0,ranchi,0.5,1,90,2,2,1,0,3.0,Lalpur,1100.0,2.0,0,0,1,0,0
158,68.5,ranchi,1.0,0,-1,2,3,1,0,3.0,Ratu Road,1359.0,4.0,0,0,1,0,0
159,40.0,ranchi,1.0,0,45,2,2,1,0,3.0,Kokar,1100.0,3.0,0,0,1,0,0
160,,ranchi,0.75,1,-1,2,0,-1,-1,2.0,BIT Mesra,600.0,3.0,0,0,0,0,0
161,62.0,ranchi,0.5,0,45,2,3,1,0,3.0,Harmu Colony,1120.0,2.0,0,0,0,0,0
162,45.0,ranchi,0.0,1,45,2,2,1,0,2.0,Harmu Colony,700.0,0.0,0,0,1,0,0
163,32.0,ranchi,0.2,0,-1,2,2,-1,-1,2.0,PRINCESS APARTMENT Ranchi,900.0,1.0,0,0,0,0,0
164,33.0,ranchi,1.0,1,-1,2,0,-1,-1,2.0,Khelgaon,860.0,2.0,0,0,0,0,0
165,45.0,ranchi,0.7777777777777778,1,-1,2,0,-1,-1,3.0,Khelgaon,1008.8,7.0,0,0,0,0,0
166,49.0,ranchi,0.3333333333333333,1,-1,2,0,-1,-1,2.0,Khelgaon,860.0,3.0,0,0,0,0,0
167,62.3,ranchi,1.0,0,45,2,5,1,0,3.0,Morabadi,1029.0,4.0,0,0,1,0,0
168,20.0,ranchi,0.2,0,0,1,1,-1,0,1.0,Neelkant Apartment Gandhi Nagar,650.0,1.0,0,0,0,0,0
169,55.0,ranchi,0.3333333333333333,2,90,2,1,1,0,3.0,Kadru,1300.0,2.0,0,0,1,0,0
