Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,107.0,navi-mumbai,1.0,0,90,2,2,1,1,2.0,Tricity Luxuria New Panvel,650.0,13.0,0,1,1,0,1,500-999
1,,navi-mumbai,1.0,0,45,2,3,1,3,2.0,Lotus Court Kamothe,739.0,7.0,0,0,1,0,0,500-999
2,90.0,navi-mumbai,0.2857142857142857,0,-1,2,0,-1,-1,2.0,Basant Bahar Apartment Kamothe,640.0,2.0,0,0,0,0,0,500-999
3,22.0,navi-mumbai,0.6666666666666666,0,225,1,0,-1,1,1.0,Uran,363.0,2.0,0,0,0,0,0,500-999
4,385.0,navi-mumbai,0.0,0,270,3,2,1,3,3.0,L&T Seawoods Residences Nerul East,1175.0,0.0,0,1,1,0,1,500-999
5,56.0,navi-mumbai,0.8571428571428571,0,-1,2,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,592.8000000000001,12.0,0,0,0,0,0,500-999
6,56.0,navi-mumbai,0.8571428571428571,0,-1,2,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,592.8000000000001,12.0,0,0,0,0,0,500-999
7,56.5,navi-mumbai,0.3333333333333333,0,-1,1,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,578.4,5.0,0,0,0,0,0,500-999
8,57.0,navi-mumbai,0.8571428571428571,0,-1,2,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,592.0,12.0,0,0,0,0,0,500-999
9,57.0,navi-mumbai,0.5714285714285714,0,-1,2,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,576.8000000000001,8.0,0,0,0,0,0,500-999
10,60.0,navi-mumbai,0.8571428571428571,0,-1,2,0,-1,-1,1.0,Ma Laxmi Heights Roadpali,578.4,12.0,0,0,0,0,0,500-999
11,145.0,navi-mumbai,0.5,0,45,3,3,1,0,3.0,Sai Spring Sector 35G Kharghar,1350.0,15.0,0,1,1,0,1,500-999
12,89.0,navi-mumbai,0.5714285714285714,1,90,2,3,0,0,2.0,Sai Sapphire Ulwe,828.0,4.0,0,1,1,0,0,500-999
13,,navi-mumbai,0.6,0,-1,2,1,-1,0,1.0,CBD Belapur,335.0,3.0,0,0,0,0,0,500-999
