Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
21739,70.0,kolkata,1.0,0,-1,1,0,-1,-1,1.0,Central road jadavpur Kolkata,400.0,1.0,0,0,0,0,0
21740,85.0,kolkata,0.4,0,135,3,2,1,0,3.0,Team Taurus De Ja Vu Rajarhat,1518.4,2.0,0,0,1,0,0
21741,,kolkata,1.0,1,90,1,1,-1,0,2.0,Belur Math,561.0,5.0,0,1,1,0,0
21742,72.0,kolkata,0.1111111111111111,0,90,2,2,-1,-1,2.0,DLF New Town Heights Rajarhat,900.0,2.0,0,1,1,0,1
21743,45.0,kolkata,0.3333333333333333,2,-1,2,0,-1,-1,2.0,"Road, Kolkata",860.0,2.0,2,0,0,0,0
21744,32.5,kolkata,0.1428571428571428,0,-1,2,0,1,-1,2.0,"Bablatala, Gopalpur Gram",813.6,1.0,0,0,1,0,0
21745,25.0,kolkata,1.0,1,-1,1,0,-1,-1,2.0,Shyamnagar,544.0,4.0,0,0,0,0,0
21746,16.0,kolkata,1.0,0,-1,2,0,-1,-1,2.0,"Larika estates Ltd, FL/NO-B1/403/2, Barasat Kolkata. Kolkata",574.4,4.0,0,0,0,0,0
21747,120.0,kolkata,0.2857142857142857,1,45,2,2,1,0,3.0,Urban Heights Rajdanga,1240.8,2.0,1,0,0,0,0
21748,121.0,kolkata,0.6428571428571429,2,45,3,2,1,0,3.0,Elita Garden Vista Action Area III,1450.0,18.0,0,1,0,0,0
21749,192.0,kolkata,0.1142857142857143,0,270,3,1,1,0,3.0,Rare Earth Narkeldanga,1447.2,4.0,1,1,0,0,0
21750,25.0,kolkata,0.0,0,-1,2,1,-1,-1,2.0,Nayabad,750.0,0.0,0,0,0,0,0
21751,22.0,kolkata,0.7857142857142857,1,-1,2,1,-1,-1,2.0,Maheshtala,569.6,11.0,0,0,0,0,0
21752,34.0,kolkata,0.5,1,-1,2,2,-1,-1,2.0,"Siddha Town Chinar Park, Rajarhat",780.0,2.0,0,0,0,0,0
21753,51.0,kolkata,0.5,2,-1,2,0,-1,-1,4.0,hawda Kolkata,1064.0,3.0,0,0,0,0,0
21754,31.0,kolkata,1.0,2,225,2,1,-1,0,2.0,Arbi 5th Avenue Madhyamgram,680.0,3.0,0,0,1,0,0
21755,42.0,kolkata,0.3333333333333333,2,45,2,1,1,0,2.0,Nayabad,745.0,1.0,0,0,1,0,0
21756,260.0,kolkata,0.5263157894736842,0,180,3,1,-1,0,3.0,Onex Privy Southern Avenue,1364.0,10.0,0,0,0,0,1
21757,18.3,kolkata,0.8,0,45,1,1,-1,0,2.0,Sodepur,492.0,4.0,1,1,0,0,0
21758,23.0,kolkata,1.0,1,-1,1,1,-1,-1,1.0,Bengal Peerless Animikha Rajarhat,400.0,3.0,0,0,0,0,0
21759,68.0,kolkata,0.5,0,45,2,1,-1,0,2.0,Action Area I,890.0,2.0,0,0,0,0,0
21760,22.0,kolkata,0.0,1,-1,1,1,-1,-1,2.0,Tirupati Enclave Samarpally,500.0,0.0,0,0,0,0,0
21761,110.0,kolkata,0.6,1,90,2,2,0,0,3.0,Diamond City South Tollygunge,1148.0,12.0,0,0,1,0,0
21762,395.0,kolkata,0.5,1,90,3,2,1,0,3.0,"Sunny Park Ballygunge Park, Ballygunge",2550.0,2.0,0,1,0,0,0
21763,136.0,kolkata,,0,180,3,1,1,0,4.0,Kshitij Dum Dum,1349.0,,0,1,1,0,0
